customer_id,first_tx,last_tx,transaction_count,customer_tenure_days,avg_days_between_transactions,recency_days,recency_band,frequency_segment,total_spend,avg_transaction_value,value_segment,retention_priority,customer_segment,churned
93716481,2023-01-05,2023-12-25,76,354,4.72,4,Active (0-30 days),High Frequency,127670300,1679872.3684210526,Very High Value,Healthy / Maintain,Champions,0
49020929,2023-02-05,2023-12-20,10,318,35.333333333333336,9,Active (0-30 days),Low Frequency,54458100,5445810.0,High Value,Healthy / Maintain,Valuable Active,0
52690950,2023-01-31,2023-12-12,10,315,35.0,17,Active (0-30 days),Low Frequency,6403350,640335.0,Low Value,Healthy / Maintain,Regular Active,0
23199751,2023-01-10,2023-12-24,23,348,15.818181818181818,5,Active (0-30 days),Regular Frequency,15184150,660180.4347826086,Low Value,Healthy / Maintain,Regular Active,0
61997066,2023-01-05,2023-11-27,18,326,19.176470588235293,32,At Risk (31-60 days),Low Frequency,262340450,14574469.444444444,Very High Value,Re-engagement,At-Risk Valuable,0
85721098,2023-01-29,2023-11-29,15,304,21.714285714285715,30,Active (0-30 days),Low Frequency,8604800,573653.3333333334,Low Value,Healthy / Maintain,Regular Active,0
97779724,2023-01-16,2023-12-19,24,337,14.652173913043478,10,Active (0-30 days),Regular Frequency,11469400,477891.6666666667,Low Value,Healthy / Maintain,Regular Active,0
65536017,2023-01-08,2023-12-26,45,352,8.0,3,Active (0-30 days),High Frequency,207325750,4607238.888888889,Very High Value,Healthy / Maintain,Champions,0
22020116,2023-01-05,2023-12-29,134,358,2.691729323308271,0,Active (0-30 days),Very High Frequency,77744450,580182.4626865672,High Value,Healthy / Maintain,Champions,0
14024733,2023-03-05,2023-12-12,13,282,23.5,17,Active (0-30 days),Low Frequency,211554250,16273403.846153846,Very High Value,Healthy / Maintain,Valuable Active,0
59375650,2023-04-08,2023-12-28,18,264,15.529411764705882,1,Active (0-30 days),Low Frequency,245673100,13648505.555555556,Very High Value,Healthy / Maintain,Valuable Active,0
72351782,2023-01-20,2023-11-18,20,302,15.894736842105264,41,At Risk (31-60 days),Regular Frequency,87308500,4365425.0,High Value,Medium Priority,At-Risk Valuable,0
55312424,2023-02-21,2023-12-01,11,283,28.3,28,Active (0-30 days),Low Frequency,39972400,3633854.5454545454,Regular Value,Healthy / Maintain,Regular Active,0
77463602,2023-01-04,2023-12-24,38,354,9.567567567567568,5,Active (0-30 days),High Frequency,176435900,4643050.0,Very High Value,Healthy / Maintain,Champions,0
68026421,2023-02-26,2023-12-10,13,287,23.916666666666668,19,Active (0-30 days),Low Frequency,45548000,3503692.3076923075,Regular Value,Healthy / Maintain,Regular Active,0
35258425,2023-01-12,2023-12-28,15,350,25.0,1,Active (0-30 days),Low Frequency,142313800,9487586.666666666,Very High Value,Healthy / Maintain,Valuable Active,0
49545274,2023-01-06,2023-12-22,17,350,21.875,7,Active (0-30 days),Low Frequency,29866150,1756832.3529411764,Regular Value,Healthy / Maintain,Regular Active,0
22937657,2023-02-12,2023-12-13,10,304,33.77777777777778,16,Active (0-30 days),Low Frequency,12344150,1234415.0,Low Value,Healthy / Maintain,Regular Active,0
38797372,2023-01-09,2023-12-19,45,344,7.818181818181818,10,Active (0-30 days),High Frequency,195239950,4338665.555555556,Very High Value,Healthy / Maintain,Champions,0
53739583,2023-01-23,2023-12-10,31,321,10.7,19,Active (0-30 days),Regular Frequency,56343500,1817532.2580645161,High Value,Healthy / Maintain,Valuable Active,0
54919233,2023-01-06,2023-12-20,31,348,11.6,9,Active (0-30 days),Regular Frequency,20166200,650522.5806451613,Regular Value,Healthy / Maintain,Regular Active,0
63701063,2023-01-05,2023-12-29,523,358,0.685823754789272,0,Active (0-30 days),Very High Frequency,868662650,1660922.8489483749,Very High Value,Healthy / Maintain,Champions,0
71303241,2023-01-14,2023-12-25,37,345,9.583333333333334,4,Active (0-30 days),High Frequency,55176800,1491264.8648648649,High Value,Healthy / Maintain,Champions,0
37879899,2023-01-06,2023-12-05,13,333,27.75,24,Active (0-30 days),Low Frequency,48568300,3736023.076923077,High Value,Healthy / Maintain,Valuable Active,0
79167585,2023-01-06,2023-12-27,99,355,3.622448979591837,2,Active (0-30 days),Very High Frequency,1372616900,13864817.171717172,Very High Value,Healthy / Maintain,Champions,0
36307043,2023-01-06,2023-12-23,17,351,21.9375,6,Active (0-30 days),Low Frequency,55650150,3273538.2352941176,High Value,Healthy / Maintain,Valuable Active,0
63176805,2023-01-04,2023-12-23,98,353,3.6391752577319587,6,Active (0-30 days),Very High Frequency,141658050,1445490.306122449,Very High Value,Healthy / Maintain,Champions,0
46268519,2023-01-05,2023-09-10,11,248,24.8,110,Inactive (90+ days),Low Frequency,15900850,1445531.8181818181,Low Value,Inactive / Win-back,Standard Re-engagement,1
71303272,2023-01-31,2023-12-06,15,309,22.071428571428573,23,Active (0-30 days),Low Frequency,77386800,5159120.0,High Value,Healthy / Maintain,Valuable Active,0
59637868,2023-01-21,2023-12-26,20,339,17.842105263157894,3,Active (0-30 days),Regular Frequency,31980600,1599030.0,Regular Value,Healthy / Maintain,Regular Active,0
69468269,2023-01-08,2023-12-19,16,345,23.0,10,Active (0-30 days),Low Frequency,173078000,10817375.0,Very High Value,Healthy / Maintain,Valuable Active,0
15859824,2023-01-10,2023-11-05,11,299,29.9,54,At Risk (31-60 days),Low Frequency,69053950,6277631.818181818,High Value,Re-engagement,At-Risk Valuable,0
12976242,2023-03-20,2023-12-09,14,264,20.307692307692307,20,Active (0-30 days),Low Frequency,57997300,4142664.285714286,High Value,Healthy / Maintain,Valuable Active,0
65798258,2023-01-11,2023-11-12,13,305,25.416666666666668,47,At Risk (31-60 days),Low Frequency,51393050,3953311.5384615385,High Value,Re-engagement,At-Risk Valuable,0
23593077,2023-01-21,2023-11-19,15,302,21.571428571428573,40,At Risk (31-60 days),Low Frequency,21318550,1421236.6666666667,Regular Value,Re-engagement,Standard Re-engagement,0
89522294,2023-01-08,2023-12-23,70,349,5.057971014492754,6,Active (0-30 days),High Frequency,98473750,1406767.857142857,High Value,Healthy / Maintain,Champions,0
93585530,2023-01-09,2023-12-11,46,336,7.466666666666667,18,Active (0-30 days),High Frequency,73202850,1591366.3043478262,High Value,Healthy / Maintain,Champions,0
58589312,2023-01-04,2023-12-29,381,359,0.9447368421052632,0,Active (0-30 days),Very High Frequency,629733700,1652844.3569553806,Very High Value,Healthy / Maintain,Champions,0
66322564,2023-01-06,2023-12-29,26,357,14.28,0,Active (0-30 days),Regular Frequency,88630650,3408871.153846154,High Value,Healthy / Maintain,Valuable Active,0
62914695,2023-01-13,2023-12-22,10,343,38.111111111111114,7,Active (0-30 days),Low Frequency,20763150,2076315.0,Regular Value,Healthy / Maintain,Regular Active,0
62783624,2023-01-19,2023-12-18,11,333,33.3,11,Active (0-30 days),Low Frequency,19429750,1766340.9090909092,Low Value,Healthy / Maintain,Regular Active,0
44957832,2023-01-10,2023-12-29,23,353,16.045454545454547,0,Active (0-30 days),Regular Frequency,104599650,4547810.869565218,High Value,Healthy / Maintain,Valuable Active,0
82051209,2023-01-11,2023-11-29,12,322,29.272727272727273,30,Active (0-30 days),Low Frequency,39178650,3264887.5,Regular Value,Healthy / Maintain,Regular Active,0
49283208,2023-01-11,2023-12-18,17,341,21.3125,11,Active (0-30 days),Low Frequency,239372900,14080758.823529411,Very High Value,Healthy / Maintain,Valuable Active,0
54788237,2023-01-04,2023-12-25,49,355,7.395833333333333,4,Active (0-30 days),High Frequency,84706500,1728704.081632653,High Value,Healthy / Maintain,Champions,0
95289488,2023-02-11,2023-12-22,17,314,19.625,7,Active (0-30 days),Low Frequency,20780700,1222394.1176470588,Regular Value,Healthy / Maintain,Regular Active,0
82313361,2023-03-09,2023-12-18,14,284,21.846153846153847,11,Active (0-30 days),Low Frequency,160487700,11463407.142857144,Very High Value,Healthy / Maintain,Valuable Active,0
20709524,2023-01-09,2023-12-29,10,354,39.333333333333336,0,Active (0-30 days),Low Frequency,164387000,16438700.0,Very High Value,Healthy / Maintain,Valuable Active,0
14680213,2023-01-06,2023-12-29,62,357,5.852459016393443,0,Active (0-30 days),High Frequency,34436100,555420.9677419355,Regular Value,Healthy / Maintain,Regular Active,0
82837654,2023-03-07,2023-12-27,11,295,29.5,2,Active (0-30 days),Low Frequency,12008700,1091700.0,Low Value,Healthy / Maintain,Regular Active,0
52560028,2023-01-06,2023-12-26,147,354,2.4246575342465753,3,Active (0-30 days),Very High Frequency,232132550,1579132.9931972788,Very High Value,Healthy / Maintain,Champions,0
38535325,2023-01-05,2023-12-28,169,357,2.125,1,Active (0-30 days),Very High Frequency,824909100,4881118.934911243,Very High Value,Healthy / Maintain,Champions,0
58458273,2023-01-04,2023-10-29,11,298,29.8,61,High Risk (61-90 days),Low Frequency,20838800,1894436.3636363635,Regular Value,Urgent Re-engagement,Standard Re-engagement,0
45613218,2023-01-10,2023-12-25,46,349,7.7555555555555555,4,Active (0-30 days),High Frequency,23123950,502694.5652173913,Regular Value,Healthy / Maintain,Regular Active,0
79036580,2023-01-26,2023-12-11,30,319,11.0,18,Active (0-30 days),Regular Frequency,17113050,570435.0,Low Value,Healthy / Maintain,Regular Active,0
83230898,2023-02-02,2023-12-12,30,313,10.793103448275861,17,Active (0-30 days),Regular Frequency,149429500,4980983.333333333,Very High Value,Healthy / Maintain,Valuable Active,0
20971700,2023-01-04,2023-11-30,25,330,13.75,29,Active (0-30 days),Regular Frequency,43020900,1720836.0,Regular Value,Healthy / Maintain,Regular Active,0
59637944,2023-01-04,2023-12-29,180,359,2.005586592178771,0,Active (0-30 days),Very High Frequency,276428700,1535715.0,Very High Value,Healthy / Maintain,Champions,0
29098171,2023-01-20,2023-12-05,13,319,26.583333333333332,24,Active (0-30 days),Low Frequency,59731800,4594753.846153846,High Value,Healthy / Maintain,Valuable Active,0
34209980,2023-01-28,2023-12-13,16,319,21.266666666666666,16,Active (0-30 days),Low Frequency,214843050,13427690.625,Very High Value,Healthy / Maintain,Valuable Active,0
25559230,2023-01-07,2023-12-25,143,352,2.4788732394366195,4,Active (0-30 days),Very High Frequency,80833800,565271.3286713287,High Value,Healthy / Maintain,Champions,0
32506047,2023-01-09,2023-12-24,19,349,19.38888888888889,5,Active (0-30 days),Regular Frequency,29720450,1564234.2105263157,Regular Value,Healthy / Maintain,Regular Active,0
97255618,2023-01-04,2023-12-11,10,341,37.888888888888886,18,Active (0-30 days),Low Frequency,3621600,362160.0,Low Value,Healthy / Maintain,Regular Active,0
65142979,2023-01-11,2023-12-29,29,352,12.571428571428571,0,Active (0-30 days),Regular Frequency,151333950,5218412.068965517,Very High Value,Healthy / Maintain,Valuable Active,0
68681925,2023-01-16,2023-11-12,10,300,33.333333333333336,47,At Risk (31-60 days),Low Frequency,6491600,649160.0,Low Value,Re-engagement,Standard Re-engagement,0
10223819,2023-01-07,2023-12-16,20,343,18.05263157894737,13,Active (0-30 days),Regular Frequency,86161150,4308057.5,High Value,Healthy / Maintain,Valuable Active,0
